,fase,score,image
0,Test,0.2857142857142857,1
1,Train,0.0,1
3,Test,0.5833333333333333,2
4,Train,0.4000000000000001,2
6,Test,0.4166666666666667,3
7,Train,0.4444444444444444,3
9,Test,0.48571428571428577,5
10,Train,0.6388888888888888,5
12,Test,0.7333333333333334,6
13,Train,0.0,6
15,Test,0.5333333333333332,7
16,Train,0.4000000000000001,7
18,Test,0.5333333333333332,8
19,Train,0.7388888888888889,8
21,Test,0.2857142857142857,9
22,Train,0.6666666666666666,9
24,Test,0.4166666666666667,10
25,Train,0.48888888888888893,10
27,Test,0.5833333333333333,11
28,Train,0.6555555555555556,11
30,Test,0.25,12
31,Train,0.48888888888888893,12
33,Test,0.8285714285714285,13
34,Train,0.7023809523809522,13
36,Test,0.48571428571428577,14
37,Train,0.7388888888888889,14
