,measure,score,image
0,Extra Trees Train,0.62,1
1,Extra Trees Test,0.48,1
2,Random Forest Train,0.69,1
3,Random Forest Test,0.87,1
4,Extra Trees Train,0.6,2
5,Extra Trees Test,0.07,2
6,Random Forest Train,0.6,2
7,Random Forest Test,0.4,2
8,Extra Trees Train,0.62,3
9,Extra Trees Test,0.04,3
10,Random Forest Train,0.62,3
11,Random Forest Test,0.29,3
12,Extra Trees Train,0.45,5
13,Extra Trees Test,0.17,5
14,Random Forest Train,0.45,5
15,Random Forest Test,0.17,5
16,Extra Trees Train,0.43,6
17,Extra Trees Test,0.33,6
18,Random Forest Train,0.43,6
19,Random Forest Test,0.73,6
20,Extra Trees Train,0.58,7
21,Extra Trees Test,0.34,7
22,Random Forest Train,0.58,7
23,Random Forest Test,0.42,7
24,Extra Trees Train,0.67,8
25,Extra Trees Test,0.42,8
26,Random Forest Train,0.58,8
27,Random Forest Test,0.42,8
28,Extra Trees Train,0.62,9
29,Extra Trees Test,0.04,9
30,Random Forest Train,0.62,9
31,Random Forest Test,0.63,9
32,Extra Trees Train,0.62,10
33,Extra Trees Test,0.04,10
34,Random Forest Train,0.62,10
35,Random Forest Test,0.04,10
36,Extra Trees Train,0.7,11
37,Extra Trees Test,0.23,11
38,Random Forest Train,0.7,11
39,Random Forest Test,0.23,11
40,Extra Trees Train,0.7,12
41,Extra Trees Test,0.17,12
42,Random Forest Train,0.7,12
43,Random Forest Test,0.17,12
44,Extra Trees Train,0.67,13
45,Extra Trees Test,0.17,13
46,Random Forest Train,0.67,13
47,Random Forest Test,0.44,13
48,Extra Trees Train,0.64,14
49,Extra Trees Test,0.46,14
50,Random Forest Train,0.64,14
51,Random Forest Test,0.46,14
