,measure,value,experience
0,evidence,330.375,novice
1,evidence,277.7490494296578,novice
2,evidence,302.6388888888889,novice
3,evidence,314.6605504587156,novice
4,evidence,277.73776223776224,novice
5,evidence,232.02739726027397,novice
6,evidence,300.8565737051793,novice
7,evidence,299.32365145228215,novice
8,evidence,313.61467889908255,novice
9,non evidence,335.05750798722045,novice
10,non evidence,305.1578099838969,novice
11,non evidence,290.97445972495086,novice
12,non evidence,315.2154963680387,novice
13,non evidence,257.07710280373834,novice
14,non evidence,241.35208711433756,novice
15,non evidence,292.0716417910448,novice
16,non evidence,308.5261538461538,novice
17,non evidence,321.5043227665706,novice
18, evidence,496.0,novice
19, evidence,263.0,novice
20, evidence,324.0,novice
21, evidence,218.0,novice
22, evidence,286.0,novice
23, evidence,365.0,novice
24, evidence,251.0,novice
25, evidence,241.0,novice
26, evidence,218.0,novice
27, non evidence,1252.0,novice
28, non evidence,621.0,novice
29, non evidence,509.0,novice
30, non evidence,413.0,novice
31, non evidence,428.0,novice
32, non evidence,551.0,novice
33, non evidence,670.0,novice
34, non evidence,650.0,novice
35, non evidence,347.0,novice
36,evidence,271.2250922509225,expert
37,evidence,284.3916913946588,expert
38,evidence,317.61538461538464,expert
39,evidence,393.20940170940173,expert
40,evidence,320.65587044534414,expert
41,evidence,297.4134897360704,expert
42,evidence,274.188679245283,expert
43,evidence,322.12297734627833,expert
44,evidence,344.38630806845964,expert
45,non evidence,271.4982456140351,expert
46,non evidence,301.05015045135406,expert
47,non evidence,311.731884057971,expert
48,non evidence,327.2137203166227,expert
49,non evidence,340.9501965923984,expert
50,non evidence,272.25215889464596,expert
51,non evidence,291.53878406708594,expert
52,non evidence,309.119589977221,expert
53,non evidence,325.5601265822785,expert
54, evidence,271.0,expert
55, evidence,337.0,expert
56, evidence,182.0,expert
57, evidence,234.0,expert
58, evidence,247.0,expert
59, evidence,341.0,expert
60, evidence,159.0,expert
61, evidence,309.0,expert
62, evidence,409.0,expert
63, non evidence,570.0,expert
64, non evidence,997.0,expert
65, non evidence,414.0,expert
66, non evidence,379.0,expert
67, non evidence,763.0,expert
68, non evidence,579.0,expert
69, non evidence,477.0,expert
70, non evidence,878.0,expert
71, non evidence,632.0,expert
