,relevant_fixdur,redundant_fixdur,relevant_fixnum,redundant_fixnum,experience
0,302.50632911392404,316.0504201680672,79.0,119.0,1
1,275.741935483871,330.0289855072464,31.0,69.0,1
2,306.6811594202899,291.5777777777778,69.0,45.0,1
3,279.4423076923077,307.8157894736842,52.0,38.0,2
4,272.27659574468083,316.688679245283,47.0,106.0,2
5,300.1333333333333,317.90697674418607,30.0,43.0,2
6,437.57894736842104,328.90909090909093,38.0,44.0,2
7,360.26785714285717,379.01960784313724,56.0,51.0,2
8,290.19354838709677,234.775,62.0,40.0,2
9,285.43589743589746,250.8148148148148,39.0,27.0,2
10,254.2608695652174,306.4868421052632,46.0,76.0,2
11,346.3296703296703,283.35714285714283,91.0,56.0,2
12,310.1666666666667,339.84,42.0,25.0,1
13,252.60714285714286,247.34375,56.0,32.0,1
14,209.74647887323943,278.76785714285717,71.0,56.0,1
15,265.925,257.25925925925924,40.0,54.0,1
16,234.09302325581396,297.07042253521126,43.0,71.0,1
17,303.02,350.6,50.0,25.0,1
