,relevant_fixdur,redundant_fixdur,relevant_fixnum,redundant_fixnum,experience
0,321.25,323.64150943396226,8.0,53.0,1.0
1,243.88888888888889,310.6216216216216,9.0,37.0,1.0
2,377.6666666666667,306.55555555555554,3.0,18.0,1.0
3,355.0,327.6818181818182,1.0,22.0,1.0
4,306.75,294.1363636363636,4.0,22.0,1.0
5,298.0833333333333,322.025,12.0,40.0,1.0
6,147.5,278.8125,2.0,16.0,1.0
7,309.1,294.7368421052632,10.0,76.0,1.0
8,286.59090909090907,256.561797752809,22.0,89.0,1.0
9,307.64285714285717,310.51807228915663,14.0,83.0,2.0
10,307.8235294117647,296.0625,17.0,64.0,2.0
11,314.8,301.6666666666667,20.0,69.0,2.0
12,164.0,400.375,1.0,8.0,2.0
13,254.5,283.11764705882354,2.0,17.0,2.0
14,144.0,313.0,1.0,12.0,2.0
15,255.5,359.44117647058823,6.0,34.0,2.0
16,342.05555555555554,297.3965517241379,18.0,58.0,2.0
