,relevant_fixdur,redundant_fixdur,relevant_fixnum,redundant_fixnum,experience
0,328.6666666666667,272.825,9.0,40.0,1.0
1,258.4166666666667,285.73770491803276,12.0,61.0,1.0
2,213.625,251.48,8.0,25.0,1.0
3,245.85714285714286,282.35483870967744,7.0,31.0,1.0
4,312.9166666666667,310.1372549019608,12.0,51.0,1.0
5,341.8,301.5438596491228,20.0,57.0,1.0
6,323.15384615384613,276.58,13.0,50.0,1.0
7,322.1,334.1521739130435,20.0,46.0,1.0
8,318.84615384615387,259.87142857142857,13.0,70.0,1.0
9,270.27777777777777,291.9718309859155,18.0,71.0,1.0
10,287.2857142857143,320.5813953488372,14.0,43.0,1.0
11,340.85714285714283,301.4,7.0,85.0,2.0
12,325.25,307.3125,4.0,48.0,2.0
13,302.14285714285717,277.14285714285717,7.0,21.0,2.0
14,534.0,284.36842105263156,1.0,19.0,2.0
15,380.5,298.88461538461536,4.0,52.0,2.0
16,321.90909090909093,298.28169014084506,11.0,71.0,2.0
17,294.5,326.0,4.0,21.0,2.0
18,291.0,301.4230769230769,3.0,78.0,2.0
19,256.0,279.75324675324674,4.0,77.0,2.0
